label,text,label_enc
Not-Hope,@ಉಷಾ ರಾವ್ ಇವರಿಗೆ ಇದೆಲ್ಲ ಹೇಳಿದ್ರೆ ಅವರು ನಂಬೋಲ್ಲ......ಅವರದು ಒಂದು ರೀತಿ ಆಜ್ನ್ಯಾನ......ಜಾತಿ ವ್ಯವಸ್ಥೆಗೂ ದೇಶದ ಅಭಿವೃದ್ಧಿಗೂ ಸಂಬಂಧವಿಲ್ಲ,1
Hope,ಒ ಮೈ ಗಾಡ್ ವ್ಯೂಟ್ ಆ ಆಕ್ಟಿಂಗ್ ಬ್ರೋ ರಿಯಲ್ಲಿ ಮೈ ಐಸ್ ಅರೆ ವೆಟ್ ನೈಸ್ ಕನ್ಸೆಪ್ಟ್ ಕೀಪ್ ಇಟ್ ಅಪ್ ಬ್ರೋ ನೌ ಆ ಡೇಸ್ ಅಲ್ಲಿ ಅವರಗೆ ತುಂಬ ಬೇಜರ್ ಆಗೋ ತಾರಾ ಮಾಡತರ ಜನ ನಾವು ತಿಳಿದು ಅಂತವರು ಆಗಿ ಹಾಗ್ ಮಾಡಿದ್ರೆ ಹೇಗೆ ಹೇಳಿ ನಾವು ಅವರ ಬಾವಣೆಗಳಿಗೆ ಸ್ಪಂದಿಸಿಬೇಕು ಅಲ್ವಾ ಅವರಲ್ಲಿ ಕೂಡಾ ತುಂಬ ಜನ ಅಚಿವೆ ಮಾಡಿದರ ತಮಿಲ್ ನಾಡು ಅಲ್ಲಿ ಒಬ್ಲು ಇ.ಪ್.ಸ್ ಆಗಿದಾಳೆ ಎನು ಬಾಲ ಜನ ನೆ ಎದರ ಪಿಎಲ್ಎಸ್ ಎಫಆರ್ಡಿಎಸ್ ಅವರಗೆ ನಾವು ಸಪೋರ್ಟಿವ್ ಆಗಿರ್ಬೇಕು ಅಲ್ವಾ ನೈಸ್ ಕನ್ಸೆಪ್ಟ್ ಅಣ್ಣ,0
Hope,ಉ ರ್ ಗ್ರೀಟ್ ಸಿರ್,0
Not-Hope,ಮೋಸ್ಟ್ಲಿ ರಶ್ಮಿಕಾ ಮಂದಣ್ಣ ಫಾನ್ಸ್ ಎರ್ಬೇಕು🤣,1
Not-Hope,ನಿರೀಕ್ಷೆಗೂ ಮಿರಿ ಸಿನಿಮಾ ಆಗಿದೆ ಮೈ ಫೇವರೈಟ್ ಮೂವಿ ಲವ್ ಯೂ,1
Hope,ಯಾರಾದ್ರೂ ಸಾಹಿತ್ಯ ಹಕ್ತರ ಅಂತ ನೋಡ್ತಿದ್ದ್,0
Not-Hope,ಮುತ್ತುರಾಜ್ ಮೇಲಗೇರಿ ಸೂಪರ್,1
Hope,ಫರ್ಸ್ಟ್ ಟೈಮ್ ಕನ್ನಡ ಮೂವಿ ಫಿಲ್ಮ್ ವಿಡಿಯೋ ಸೋಂಗ್ ಫುಲ್ ಬಿಟ್ಟಿರೋದು,0
Hope,ಇಂಥ ಒಲ್ಲೆ ವಿಡಿಯೋ ನು ಡಿಸ್ಲೈಕ್ ಮಾಡಿರೋರು ಎಂಥ ಕಾಚದ ನನ್ಮಕ್ಲಿರ್ಬೇಕು🤦🤦🤦🤦,0
Not-Hope,@ಕ್ರಿಯೇಟಿವ್ ಕನ್ನಡಿಗ ಎನೊ ಒಂದ್ ಬಿಡ್ ಗುರು..ನಿನ್ ಮಾಟ್ ಕೇಳ್ತಿರೋದೆ ಚಂದಾ....ಅಡೆನ್ ಮಾತಾಡ್ತಿಯ ಬ್ರೋಚಿಂಡಿ ಬ್ರೋ ಕೀಪ್ ರೋಸ್ಟಿಂಗ್,1
Not-Hope,ವೀ ವಾಂಟ್ ತಿಸ್ ಮೂವೀಸ್,1
Not-Hope,ಯಾವ್ ಗೇಮ್ ಗುರು ಎದು,1
Hope,ಗ್ರೀಟ್ ಸಿರ್ ನೀವು,0
Not-Hope,ಗೆಲ್ಲುತ್ತೆ ಡೋಂಟ್ ವೆರಿ,1
Not-Hope,ರಾಗದ್ ಸೋಂಗ್  ....,1
Not-Hope,ಸುದೀಪ್ ದು ಒಲ್ಲೆ ಮೂವೀಸ್ ಇನ್ನು ಇದವೇ.ನ್ನ್ಫಾಂಟಮ್,1
Hope,ಕನ್ನಡದಲ್ಲಿ  ಬರಹವನ್ನು  ಬರೆದ  ನಿಮಗೆ  ನನ್ನ  ಅಭಿನಂದನೆಗಳು ಸಿನಿಮಾ  ಚೆನ್ನಾಗಿದೆ   ನನ್ನ  ಹೃದಯಕ್ಕೆ  ಮನಸ್ಸಿಗೇ ಮುಟ್ಟಿದ ಸಿನಿಮಾ ಇದು... ಒಳ್ಳೆಯದಾಗಲಿ,0
Hope,ಉ ರ್ ಗ್ರೀಟ್ ಸಿರ್. ಶ್ರಮ ಜೀವಿ,0
Hope,ನೀವು ಹೇಳಿದ ಕಥೆ ಚನ್ನಾಗಿಯೇ ಇದೆ ಆದ್ರೆ ಅಶ್ವತ್ತಾಮ ಬದುಕಿರೋದು ಸುಳ್ಳು,0
Hope,ಇದು ಚರಿತ್ರೆ ಶೃಷ್ಟಿಸುವ ಅವತಾರ ಇದು ಚರಿತ್ರೆ ಷೃಷ್ಟಿಸುವ ಸಿನಿಮಾ ಅಸ್ನ್,0
Hope,ಈ ಟೈಮ್ ಗೆ ವೇಟ್ ಮಾಡ್ತಿದ್ದೆ,0
Not-Hope,ಆಲ್ ಹಾಂಡ್ಸ್ ಅಪ್ ನಂದ್ ಒನೆ ಲೈಕ್,1
Not-Hope,ನಾರಾಯಣ. ಕ್ಯಾರೆಕ್ಟರ್. ಯಾರಿಗ  ಇಸ್ತಾ. ಇಲ್ಲಿ. ಲೈಕ್. ಮಾಡಿ,1
Not-Hope,ನಿನ್ ಯವಾಗ್ ನೋಡಿದ್ದೆ ಬಗ್ಗಿ ಎವಿಎನ್ ಪೊಟೆನ್ಶಿಯಲ್. ಮುಚೋಲೆ,1
Not-Hope,ಮಾಸ್ಟ್ ಮೂವಿ,1
Not-Hope,@ŕäವಿîñđŕå_02_ಜಿøವ್ಯೂđřú  ನಿಮ್ಮ ಅಮ್ಮನ್ ತುಲ್ಲು,1
Hope,ಈ ಹಾಡು ತುಂಬಾ ಇಷ್ಟವಾಯ್ತು,0
Hope,ಲಾಕ್ ಡೌನ್ ನಲ್ಲಿ ಈ ಹಾಡನ್ನು ಕೇಳಿ ದವರೂ ಲೈಕ್ ಮಾಡಿ,0
Not-Hope,ಸೂಪರ್ ರಿ ಬೂಸ್,1
Not-Hope,@ಟ್ರೋಲ್ ಮಾನ್ಸ್ಟರ್_ಕನ್ನಡ ಗುರು ಬಾರಿ ಮಠದಕ್ ಆಸ್ತೆ ಯಾವ್ ಸುಲೆ ಮಕ್ಲಿಗೂ ಮುಂಡೆ ಬಂದು ಮಠದಸ್ತು ಧುಮ್ ಎಲ್ಲಾ ಬಾಸ್ ಅಲ್ವೇಸ್ ಕಿಂಗ್,1
Not-Hope,ನಮ್ಮದೇಶ ದ ಕತೆ ಇಷ್ಟೆ ಕಣೋಪ್ಪ,1
Hope,ಸ್ವಾಭಿಮಾನ ಡಿಎ ಬದುಕು ಸರ್ತಕ,0
Not-Hope,ಡಿಸ್ ಲೈಕ್ ಹಾಕೋರ್ಗೆ ಒಂದ್ ಮಾತ್ ಹೆಕೊಕ್ ಎಸ್ಟಾ ಪಡ್ತಿನಿ ನಿಮಿಗ್ ಎಸ್ಟಾ ಆಗಿಲ್ಲ ಆಂಡ್ರೆ ಸುಮ್ನೆ ಎರ್ಬೋಡ್ ಅಲ್ವಾ ಯಾಕ್ ಸುಮ್ನೆ ಡಿಸ್ಲೈಕ್ ಹಾಕ್ತೀರ ... ಅದೆ ಬೆರೆ ಭಾಷೆದ್ ಎಸ್ಟ್ ಕಚ್ಚದ ಎದ್ರು ಲೈಕ್ ಹಾಕ್ತೀರ ಅಲ್ವಾ ನಿಮ್ಮಂತೋರ್ ಏರೋದ್ರಿಂದನೇ ಕನ್ನಡ ಮೂವೀಸ್ ಆಸ್ಟ್ ಹೆಸ್ರು ಮಾಡ್ತ ಇಲ್ಲಾ ...,1
Hope,ನಿಮ್ ಮಾತು  ಸರ್ಯಾಗಿ ಹೇಳಿದ್ದೀರ ಸೂಪರ್,0
Not-Hope,@ವಿನಯ್ ಕುಮಾರ್ ಸಾರಿ ನಿಮ್ ಬಳೆಗಾರ ಯಾಕೆ ಶಾತ ಎಲ್ಲಾ ಕಿತು ತಲೆಗೆ ಅಂಸ್ತೊಂದಿದನೆ ಶಾತುಕೊಬ್ಬ-3_ಥೆ ಪವರ್ ಒಎಫ್ ಶಾತ ಪ್ರೊಮೋಷನ್ ಜಿಎ🤣🤪,1
Not-Hope,ದ್ ಬಾಸ್ ಅಭಿಮಾನಿ ಕಡಿಂದ ಆಲ್ ದ ಬೆಸ್ಟ್,1
Not-Hope,ಬಾರಿ ಒಲು ನಾನ್ ಮಕ್ಲಾ,1
Not-Hope,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,1
Not-Hope,ಲೆ ಗಂಡುಂಟಿಕಮುಚ್ಚುಣ್ಣೀ ತಾರಾ ವರ್ಸ್ಟ್ ಸೋಂಗ್ ನಿನ್ ಕಾಯಲ್ಲಿ ಮಾಡಕ್ಕೆ ಆಗುತ್ತಾ,1
Not-Hope,ಬೈ ಮಿಸ್ಟಕ್ಲಿ ನಿಮ್ಮ ಒಂದು ವಿಡಿಯೋ ನೋಡಿ ಸಬ್ಸ್ಕ್ರೈಬ್ ಆಗ್ಬಿಟ್ಟೆ  ಕೀಪ್ ಇಟ್ ಅಪ್ ಬ್ರೋ,1
Hope,ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಸರ್ ನಾನು ಸನ್ನಾವಿದ್ಧಾಗ ಕೆಳಿದ ನಾಟಕ ನನ್ನ ಬಾಲ್ಯದ ನೆನಪುಗಳು ಮರುಕಳಿಸಿದವು🥰🥰,0
Not-Hope,ಗುಡ್ ಮ್ಯಾಸೇಜ್ ಅಣ್ಣ ಸೂಪರ್,1
Not-Hope,ರಕ್ಷಿತ್ ನೈಕ್ ಅವ್ರು ಮೋದಿ ಭಕ್ತರು,1
Not-Hope,ಬೋರಿಂಗ್ ಆಗಿದ್ರೆ ಆಲ್ ಇಂಡಿಯಾ ಟ್ರೆಂಡಿಂಗ್ ಆಗ್ತಿರ್ಲಿಲ್ಲ🤣,1
Hope,ಇದು ಖಂಡಿತ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,0
Not-Hope,ಬಸವ ಬಸವರಾಜ್ ಮೈಂಡ್ ಯೂರ್ ವರ್ಡ್ಸ್. ಮಾಥಿನ ಮೇಲೆ ನಿಗಾ ಇರ್ಲಿ.,1
Not-Hope,ಟಿಕ್ ಟೋಕ್ ರಿಪ್ ಬ್ರೋ,1
Not-Hope,@ವಿಶಾಲ್ ಶೆಟ್ಟಿ ಲೋ ಬೀಧಿ ಸೂಲೆ ಮಗನೆ....ನಿನ್ ಪ್ರಕರಣೆ ಬೆಲ್ಸ್ಬೇಕು ಅನ್ನೋದಿದ್ರೆ ನಿಮ್ ಕಡೆ ಮಾಡೋ ಯಕ್ಷಗಾನ,1
Not-Hope,@ವಿನಯ್ ವಿಎನ್ ಕಣ್ಣದಲ್ಲಿ ಹೇಳು ಬ್ರೋ ಗೋಥಗಲ್ಲ ಇಂಗ್ಲಿಷ್  ಇದು ರಿಮೇಕ್ ಆ?,1
Hope,ಎದೆಲ್ಲಾ ಆಗಬೇಕು ಆಂಡ್ರೆ ಪ್ರಜಾಕೀಯ ಆಡಳಿತಕ್ಕೆ ಬರಬೇಕು,0
Not-Hope,ಟಿಕ್ಟೋಕ್ ದೂಳು ಇವತಿಂದ,1
Not-Hope,ಥಿಸ್ ಯಿಯರ್ ವಾಚ್ ಒಂದು ಶಿಕಾರಿಯ ಕಥೆ,1
Hope,ಇಷ್ಟ ಆಯ್ತು ಶೇತ್ರೆ,0
Hope,ನಾನು ಈ ಸಿನಿಮಾ ನೋಡಿದೆ.ನ್ನೀವೂ ನೋಡಿ.ನ್ಇಲ್ಲದಿದ್ದರೆ ಕನ್ನಡದ ಒಂದು ಒಳ್ಳೆಯ ಚಿತ್ರವನ್ನು ಮಿಸ್ ಮಾಡಿಕೊಂಡಂತೆ.ನ್ಇದೇ ಚಿತ್ರ ಬೇರೆ ಭಾಷೆಯಲ್ಲಿ ಬಂದಿದ್ದರೆ ಅದರ ಕಥೇನೆ ಬೇರೆ ಇರ್ತಿತ್ತು.,0
Not-Hope,ಪಾತ್ರದ ಪರಿಚಯ ಇರೋರು...ಇ ಬಂದೂಕಿಗಿದೆ ಹಾಲೆ ಹೆಸರು....ಇಸ್ ಹೆ ಮೆನ್ಷನಿಂಗ್ ಉಳಿದವರು ಕಂಡ್ನ್ತೆ????,1
Not-Hope,ಗಾಳಿ ಮಾಥಿನ ಬಜಾರು ಸುಧಿ ಮಾಡಿದೆ ಸುಮಾರು.,1
Hope,ಕ್ರಿಯೇಟಿವ್  ಕಿಲಾಡಿ ಗುರು ನೀನು ಸೂಪರ್,0
Not-Hope,ರೆಜಿನಾಲ್ಡ್ ಕೆಲ್ಲಿ ಕಿತ್ಕಬೇಕು ಬಂದು ಎಡ್ಥೈನ್ ನಂದು,1
Hope,ಸೂಪರ್ ಸರ್ ಈ ಸಾಂಗ್ ನನಿಗಂತೂ ತುಂಬ ಈ ಆಡು ದಿಫ್ಫ್ರೆಂಟ್ ಅಂತ ಅನಿಸಿದರೆ ನನ್  ಫೇವರೆಟ್ ಸಾಂಗ್ ಆಗಿದೆ ಕಣ್ರೀ. ವಿಜಯ್ ಪ್ರಕಾಶ್ ಸರ್ ವಾಯ್ಸ್ ಪ್ಲೀಸ್ ಮೋರ್ ಥೆನ್ ಪೆಪಲ್ಸ್ ವಾಚ್ ಥಿಸ್ ಸೋಂಗ್ ಸೂಪರ್ ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ. ಇಷ್ಟ ಆದ್ರೆ ಲೈಕ್ ಮಾಡಿ. ಇಷ್ಟ ಆಗಲಿಲ್ಲವಾ ಸುಮ್ನೆ ಕುತ್ಕೊಳ್ಳಿ ಯಾಕ್ ಸುಮ್ನೆ  ಡಿಸ್ ಲೈಕ್ ಮಾಡ್ತೀರ,0
Hope,ಅವನೆ ಶ್ರೀಮನ್ ನಾರಾಯಣ..,0
Hope,ನೋ ಡಬ್ಟ್ ಎದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ  ಅವತರಣೆ,0
Not-Hope,ರವಿ ಚಂದ್ರ ಸಂಗ ಸ,1
Not-Hope,ಚೇಳ್ ತಿನ್ನೋ ಚಪ್ಪರ್ ನನ್ಮಕ್ಳು🤣,1
Hope,ಅಣ್ಣ ಸೂಪರ್ ಆಏಗಿ ಮಗಧೀರ ವಿಡಿಯೋಸ್ ಎಂಟರ್ಟೈನ್ಮೆಂಟ್ ನ್ಯೂ ಫೋಲ್ಡರ್,0
Not-Hope,ದೇವರೆ ದೇವರೆ ದೇವರೆ ದೇವರೆ ಶಿವನೆ ತಂಧೆಯೇ ಅಪ್ಪನೆ ನೀವು ಸೂಪರ್ ಸೂಪರ್ ಡ್ಯೂಪರ್ ಮೈಂಡ್ ಬ್ಲೋವಿಂಗ್ ಹೆರೊ ಫಾರೆವರ್ ಫಾರೆವರ್,1
Not-Hope,ಹಾಂಡ್ಸ್ ಯುಪಿಎನ್ ತಮಿಲ್ ನಾಡು,1
Hope,ಬ್ರದರ್ ನಂಗೆ ಕಣ್ಣೀರಣ್ಣ ಕಂಟ್ರೋಲ್ ಮಾಡ್ಲಿಕ್ಕೆ ಆಗಲಿಲ್ಲ... ನನಗೆ ನನ್ನ ಅಮ್ಮನ ನೆನಪು ಕಾಡ್ತಿದೆ... ಜೊತೆಗೆ ಇದು ಔಟ್ ಒಎಫ್ ಫೀಲಿಂಗ್..,0
Hope,ಸೂಪರ್ ಗುರು ನೀನು,0
Hope,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ....,0
Not-Hope,ಈ ವಿಡಿಯೋ ದಲ್ಲಿ ಅಡ್ತಿರೋ ಗೇಮ್ ಯಾವ್ದು,1
Not-Hope,ಉರ್ಸೋಕೆ ನಿಂತ್ರೆ ಕನ್ನಡದವರು ಚರಿತ್ರೆ ಬರೀತಾರೆ ಅಂತ ಗೊತ್ತಾಗಲಿ.. ಕೆಲವು ಕಿಡಿಗೇಡಿಗಳಿಗೆ..,1
Not-Hope,@ಯಶ್ ಕಲ್ಟ್ ಗುರು ಎಲ್ಲಾ ಆಕ್ಟರ್ಸ್ ಅದೆ ಹಲ್ಕಾ ಕೆಲ್ಸಾ ಮಾಡೋದು ಬಿಡಪ್ಪ ರಾಜ...,1
Hope,ತುಂಬ ಚನೆಗಿದೆ ಸಿರ್,0
Not-Hope,ಯೆನ್ ಸೋಂಗ್ ಗುರು ಸೂಪರ್ಬ್,1
Not-Hope,ಮಾತೊಂದು ವಿಡಿಯೋ ಎದ್ರೆ ಹಾಕಿ,1
Not-Hope,ವೇಟಿಂಗ್  ಅಸ್ನ್,1
Not-Hope,ಆಕ್ಚುಯಲಿ ಇದು ಇದು ಚಾನಾಗಿರೋದು,1
Not-Hope,ಬ್ರೋ ಹುಬ್ಲಿ ಮಂಡಿ ವಾಯ್ಸ್ ನಲ್ಲು ಮಾಡಿ ಚೆನ್ನಾಗಿರುತೆ,1
Not-Hope,ನಿಮ್ಮನ್ ಕೇಳು ಅದ್ನಾ,1
Not-Hope,ಬಾರಿ ಮೋಸಾ ಕಾನೋ,1
Hope,ಪಿಎಲ್ಜ್ ಚಾನ್ಸ್ ಕೋಡಿ ನೋಡಿ ಅವರ್ ಆಕ್ಟಿಂಗ್,0
Not-Hope,ಎಎ ಬಿಂದು ಗೌಡಾ ನಾಡ್ ಇನ್ನಿಟರ್ ಸಪೋರ್ಟ್ ಮಾಡೋವ್ರ್ಗೆ ಹಿಲಿಯೆಘ್ಟ್ಯಾಗ್ ಟ್ರೋಲ್ ಮಾಡಿ ಬ್ರೋ ಲೈಫ್ ನಾಲ್ ಟಿಕ್ಟೋಕ್ ಬಗ್ಗೆ ಮಾತಾಡ್ಬರ್ದು,1
Not-Hope,ಬಸವರಾಜ್ ಮರೆಣ್ಣವರ್ ಬಂಗಾರದಮನುಸುಸ್ಯ,1
Not-Hope,ದರ್ಶನ್ ಕಚಾ ತಿನೋಗು ಸುಲೆ ಮಗ್ನೆ,1
Not-Hope,ಟ್ರೇಲರ್ ತುಂಬ ಚನ್ನಾಗಿದೆ,1
Hope,ಇದು ಟಾಲೆಂಟ್ ..,0
Hope,ಥ್ರಿಲ್ಲರ್ ಮೂವಿ ಆಂಡ್ರೆ ಈ ತಾರಾ ಇರ್ಬೇಕು,0
Not-Hope,@ನಂದಿ ಪಾರ್ಥಸಾರಥಿ ನಿ ಮುಂಡೆ,1
Hope,ನನಗೆ ಮಹಾಭಾರತ ಕಥೆ ಕೇಳಲು ತುಂಬಾ ಇಷ್ಟ ನಾನು ಮಹಾಭಾರತ ಓದಿದ್ದೆನೆ,0
Not-Hope,ಲೆ ಗಂಡು ನಾನ್ ಮಗನೆ,1
Not-Hope,ಸೆಕ್ಸಿ ಸೋಂಗ್ ನ್ಹಿಂದಿ ಎಲ್ರೂವೂ,1
Not-Hope,ಕನ್ನಡಿಗ ಕಲಾರಸಿಕ ನವನೆ ಶ್ರೀಮನ್ನಾರಾಯಣ ಟ್ರೇಲರ್-ಬಿಜಿಎಂ ನ್          ರೆ-ಕ್ರಿಯೇಟೆಡ್ನ,1
Not-Hope,ಬನ್ನಿ ಹಾಗಾದ್ರೆ ಮತದಾಸ್ಕೊಂಡ್ ಬರೋನಾ,1
Not-Hope,ಎನಕೆಎನ್ ಟಿಕ್ಟೋಕ್ ಬಾನ್ ಆಗ್ಬೇಕು ಆಸ್ತೆ,1
Hope,ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸಲಿ...ಕನ್ನಡದ ಹವಾ ಬಹಳ ಜೋರಾಗಿದೆ ಭಾರತೀಯ ಚಿತ್ರರಂಗದಲ್ಲಿ...ಹೆಮ್ಮೆಯ ವಿಷಯ..ನಮ್ಮೆಲ್ಲರಿಗೂ,0
Hope,ಸುಪರ್ ಇಟ್ ಸಾಂಗ್ ಡಿ ಬಾಸ್ ಆಗಲೇ ಬೇಕಿತ್ತು ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ,0
Hope,ಚರಿತ್ರೆ ಷೃಷ್ಟಿಸೋ ಅವತಾರ,0
Not-Hope,ಸ್ಟೆಪ್ ವಾಸ್ ಅಮೇಜಿಂಗ್ 🥰 ಲ್ವ್ ಉ ರಕ್ಷ್,1
Not-Hope,ಕ್ಸಿ ಎಕ್ಸ್ಪಿ ಜುರಿಚ್,1
Hope,ಹಂಸಲೇಖ ಫೀಲ್ ಯಾರಿಗೆ ಬಂತು ಲೈಕ್ ಮಾಡಿ...,0
Not-Hope,@ಸುರಕ್ಷ್ ಶೆಟ್ಟಿ ನಾ ಯಾವತು ಶೆಟ್ಟಿ ಬಂದಾಗಿಂದ ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ ಕೆಟೆದೆ ಅಂಥ ಹೇಳಿಲ್ಲ ಆದ್ರೆ ಬೇರೆಯವರು ಈದರೆ ಈವಾರ ಬ್ಯಾನರ್ ಆಲಿ ಬಾರಿ ಮೆಜಾರಿಟಿ ಆಗೆ ಶೆಟ್ಟಿ ನೀ ಈರೋದು,1
Not-Hope,ಅನ್ಲೈಕ್ ಮಾಡಿರೋರು ಬೆವರ್ಸಿಗಳು.,1
Not-Hope,ಬಾಸ್ ವಿಡಿಯೋ ಸೋಂಗ್ ಮೋಸ್ಟರ್ ಹಿಟ್,1
Not-Hope,ಟಿಕ್ ಟೋಕ್ ಬಾನ್ ಮಾಡಿರೋದ್ರಿಂದ ಯಾರ್ಗಾದ್ರೂ ಬೇಜರಾಗಿ ಫ್ರಸ್ಟ್ರೇಷನ್ ಆಗಿದ್ರೆ ಬಂದು ನಾನ್ ಟನ್  ಉಂಡ್ಬಿದ್ರಿ ಸಮದಾನ ಆಗ್ಬಹ್ದು ಎಲ್ಲಾ ಆಂಡ್ರೆ ನಿಮ್ ಹೆಲ್ನ ನೀವೆ ತಿಂದ್ಬಿಡಿ ಸೂ ಮಿಂಡ್ರಿ ಮುಂಡೇರಾ ಅದ್ರಾ ಮದೋರ್ಗು ನಿಮ್ಗು ನೋ ಚೇಂಜಸ್ ಇ ಕಮೆಂಟ್ ಗೆ ಯಲ್ಲ ಹಿಂದುಸ್ಥಾನ್ ಸಪೋರ್ಟರ್ಸ್ ರಿಪ್ಲೈ ಮಾಡಿಂಂಚೈನ ಸಪೋರ್ಟ್ ಮಾಡೋರ್ಗೆ ಯಾವ್ ತಾರಾ ಕ್ ಬೇಕು,1
Hope,ಇದು ಒಳ್ಳೆಯ ಹಾಡು...ಒಳ್ಳೆಯ ಹಾಡುಗಳು ಕೇಳ್ತಾ ಕೇಳ್ತಾ ಇಷ್ಟ ಆಗುತ್ತವೆ...,0
Not-Hope,ಇ ಲೈಕ್ ಇಟ್,1
Not-Hope,ಸರಿಯಾಗಿ ಹೇಳಿದಿರಿ ಬ್ರದರ್,1
Not-Hope,1.6ಕ್ ಪಿಯೋಪಲ್ ಅರೆ ನಾಟ್ ಲೈಕಿಂಗ್ ಥಿಸ್....ಇನ್ನಾ ಇಎನ್ ಬೇಕೋ ಮಾರಯ ನಿಮ್ಗ ...,1
Hope,ಇಎನ್ ಗುರು ನಿಮ್ ವಿಡಿಯೋ ಗೆ ಫಾನ್ ಆಗೋಡೆ ಐತು ನಿಮ್ಗೆ ನಮ್ಮ ಕಡೆ ಇಂದ ಸಬ್ಸ್ಕ್ರೈಬ್,0
Not-Hope,@ವಿನಯ್ ವಿನು ಕಂಡಿತ ಬ್ರೋ ಶೀಗ್ರದಲ್ಲಿ,1
Not-Hope,ಟಿಕ್ ಟೋಕ್ ಸೂಪರ್ ಅಪ್ ಅಣ್ಣ,1
Not-Hope,ಸೂಪರ್ ಅಣ್ಣ ಜೈ ದ್ ಬಾಸ್,1
Not-Hope,ಇಎನ್ ಸೋಂಗ್ ಗುರು... ನಮ್ಮ ನಾರಾಯಣ ನಮ್ಮ ಹೆಮ್ಮೆ ಆಲ್ ಇಂಡಿಯಾ ಫಿಧಾ ಆಗಿಬಿಟ್ದೆ ನಿಮ್ಗೆ ....,1
Not-Hope,ಹ್ವ್ಡು ಗುರು ಆಲ್ರೆಡಿ 30 ಸಾಲಾ ನೋಡಿದಿನಿ,1
